gamma_true,gamma_hat
1.0,0.999982476234436
1.0,0.999987006187439
1.0,0.9999885559082031
1.0,0.9999874830245972
1.0,0.999984622001648
1.0,0.9999827146530151
1.0,0.9999885559082031
1.0,0.9999902248382568
1.0,0.9999923706054688
1.0,0.9999970197677612
1.0,0.9999954700469971
1.0,0.9999943971633911
1.0,0.9999890327453613
1.0,0.9999785423278809
1.0,0.9999291896820068
1.0,0.9997056126594543
1.0,0.9975939393043518
1.0,0.9987186193466187
1.0,0.937900960445404
1.0,0.999962568283081
1.0,0.9999794960021973
1.0,0.9999825954437256
1.0,0.9999837875366211
1.0,0.999984860420227
1.0,0.9999853372573853
1.0,0.9999904632568359
1.0,0.999995231628418
1.0,0.9999970197677612
1.0,0.9999964237213135
1.0,0.9999955892562866
1.0,0.9999939203262329
1.0,0.999990701675415
1.0,0.999981164932251
1.0,0.9999227523803711
1.0,0.9997106194496155
1.0,0.9988464117050171
1.0,0.9986775517463684
1.0,0.9808874130249023
1.0,0.9999561309814453
1.0,0.9999760389328003
1.0,0.9999790191650391
1.0,0.9999827146530151
1.0,0.9999843835830688
1.0,0.9999854564666748
1.0,0.999992847442627
1.0,0.9999960660934448
1.0,0.9999964237213135
1.0,0.9999963045120239
1.0,0.9999951124191284
1.0,0.9999933242797852
1.0,0.9999908208847046
1.0,0.9999792575836182
1.0,0.9999203681945801
1.0,0.9997181296348572
1.0,0.999531626701355
1.0,0.9985400438308716
1.0,0.9733288288116455
1.0,0.9999821186065674
1.0,0.9999864101409912
1.0,0.9999881982803345
1.0,0.9999868869781494
1.0,0.9999839067459106
1.0,0.9999830722808838
1.0,0.9999884366989136
1.0,0.9999901056289673
1.0,0.9999921321868896
1.0,0.9999966621398926
1.0,0.9999957084655762
1.0,0.9999945163726807
1.0,0.9999898672103882
1.0,0.999980092048645
1.0,0.9999374151229858
1.0,0.9997517466545105
1.0,0.9981093406677246
1.0,0.9988924860954285
1.0,0.9504469037055969
1.0,0.9999760389328003
1.0,0.9999780654907227
