time_s,alt_ft,vc_kts,theta_deg,phi_deg,alpha_deg,hdot_fps,q_dps,throttle,elev_cmd,elev_plant,pitch_trim,speedbrake,pitch_cmd_deg,alt_err,vel_err,fault_active,eff_gamma
0.0,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,-0.1806599465501215,9.821049311799793,-0.0026533576361596626,0.15,-0.013178971090217385,-0.013178971090217385,-0.021352476832503457,0.16868267778327867,0.19966279750384003,-93.23091205582023,-88.11377963054645,0,1.0
0.00833333333333286,15093.394504960626,488.18270418327506,0.38436161825509524,1.919778420088612,-0.1808425993170288,9.822166137868257,-0.017212999598424865,0.15,-0.010262304423550719,-0.010262304423550719,-0.021352476832503457,0.1689115301317729,0.20046432738527367,-93.31302476674318,-88.15192168862882,0,1.0
0.01666666666666572,15093.476573172957,488.20979933400804,0.3841800158653907,1.9409925285491898,-0.18288335676367343,9.8543353170778,-0.04734385093327397,0.15,-0.007345637756884052,-0.007345637756884052,-0.021352476832503457,0.1690962250996504,0.20040795172337356,-93.39450496062636,-88.18270418327506,0,1.0
0.02499999999999858,15093.558933813125,488.23320209947065,0.3838651459043703,1.9218272521091333,-0.18689587606409097,9.91762256889951,-0.09207678727951886,0.15,-0.005179737556078669,-0.005179737556078669,-0.021352476832503457,0.16925879600404825,0.19991654910827483,-93.4765731729567,-88.20979933400804,0,1.0
0.03333333333333144,15093.641951736063,488.26429980901503,0.3832546664856595,1.8613805610115803,-0.18748391350214036,9.9176600588324,-0.14452135741185512,0.15,-0.005033630554187742,-0.005033630554187742,-0.021352476832503457,0.1693992125968239,0.1989893472626868,-93.5589338131249,-88.23320209947065,0,1.0
0.0416666666666643,15093.72437876463,488.29917336337786,0.38210626277953685,1.8409678862812788,-0.18669724651201103,9.885270777748731,-0.19605133184521,0.15,-0.005876360850109483,-0.005876360850109483,-0.021352476832503457,0.16958579885409017,0.19894731344215735,-93.64195173606277,-88.26429980901503,0,1.0
0.04999999999999716,15093.8065078035,488.3377972072453,0.380418204436562,1.861456627648123,-0.18454499992403317,9.82056178303567,-0.24174766964657377,0.15,-0.0066736096603785605,-0.0066736096603785605,-0.021352476832503457,0.16979504018026717,0.19935954986304544,-93.72437876462936,-88.29917336337786,0,1.0
0.05833333333333002,15093.887963294983,488.3687482605882,0.37826720356933924,1.9234388051522477,-0.1864895074233366,9.817671517379921,-0.28420488898742086,0.15,-0.007528364803678478,-0.007528364803678478,-0.021352476832503457,0.17002678324347165,0.20022441126959317,-93.8065078034997,-88.33779720724527,0,1.0
0.06666666666666288,15093.969979152083,488.3957851066864,0.3758653134179128,1.9429994887935051,-0.19054307394603354,9.846181889326884,-0.32313324956141826,0.15,-0.007511685358446285,-0.007511685358446285,-0.021352476832503457,0.17021248956352905,0.200224147243032,-93.88796329498291,-88.36874826058818,0,1.0
0.07499999999999574,15094.052257813513,488.41897922480507,0.3732561388918992,1.9221578944510327,-0.19664888666923444,9.905936740581614,-0.3619873733247716,0.15,-0.007602458973696639,-0.007602458973696639,-0.021352476832503457,0.17037471064011833,0.1997839941072243,-93.9699791520834,-88.39578510668639,0,1.0
