case,gamma_remaining,loss_percent,max_abs_dh,min_theta,max_theta,max_roll,interlock,crash,residual_steps
BASELINE,0.5,50.0,578.8259728178382,-0.0577324800993458,0.3845246721423063,3.3150215132552687,False,False,0
TECS_MRAC,0.5,50.0,572.4285622797906,-0.0729610192436078,0.3988456669151227,3.3463221706697324,False,False,0
HYBRID,0.5,50.0,563.8398023247719,-0.0563598259150715,0.3845246721423063,3.320233991802071,False,False,0
FULL_STACK,0.5,50.0,1082.304217852652,-5.583161872715186,0.3988456669151227,3.59860893061766,False,False,5399
