step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,residual_enabled,rl_residual,interlock_tripped
1,0.0,TECS_MRAC,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,9.821049311799793,-0.0026533576361596626,-0.013178971090217385,-0.027118056506713187,-0.027118056506713187,0.15,0.0020833333333333333,1.0,1.0,1.0,-0.0139390854164958,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
2,0.008333,TECS_MRAC,15093.394504960626,488.18150881074155,0.38436161825509524,1.919778420088612,9.827116970324765,0.05072708965995419,-0.010262304423550719,-0.024257339043716544,-0.024257339043716544,0.15,0.004166666666666667,1.0,1.0,1.0,-0.013995034620165825,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
3,0.016667,TECS_MRAC,15093.476652249694,488.20780438582295,0.38474586184362003,1.9409926522514578,9.86336194613172,0.08805541860028937,-0.007345637756884052,-0.021331884417235804,-0.021331884417235804,0.15,0.00625,1.0,1.0,1.0,-0.013986246660351753,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
4,0.025,TECS_MRAC,15093.559102054685,488.2304171774168,0.38555868353137346,1.9218275625280399,9.931398174407121,0.10986146405334254,-0.004428971090217386,-0.018376906865139757,-0.018376906865139757,0.15,0.008333333333333333,1.0,1.0,1.0,-0.013947935774922371,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
5,0.033333,TECS_MRAC,15093.642256896943,488.26080189002977,0.3866301034666381,1.8613813887433655,9.936673631805398,0.11913083122433728,-0.0016312067617580558,-0.015509745966355529,-0.015509745966355529,0.15,0.010416666666666666,1.0,1.0,1.0,-0.013878539204597473,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
6,0.041667,TECS_MRAC,15093.72486589849,488.2951855007668,0.38767761346163127,1.8409686052452523,9.909467129051734,0.11503038806949036,-0.0018848722992535353,-0.015755331349193644,-0.015755331349193644,0.15,0.012499999999999999,1.0,1.0,1.0,-0.01387045904994011,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
7,0.05,TECS_MRAC,15093.80721797049,488.33330700245756,0.38858049377034726,1.8614556236199367,9.850814427088466,0.11290194097469224,-0.002115541733068011,-0.016009687110048316,-0.016009687110048316,0.15,0.014583333333333332,1.0,1.0,1.0,-0.013894145376980305,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
8,0.058333,TECS_MRAC,15093.888953842223,488.3638008818216,0.3893832648903938,1.9234332486132129,9.854685439048463,0.11039048737157219,-0.0024466662171295705,-0.016395243673305852,-0.016395243673305852,0.15,0.016666666666666666,1.0,1.0,1.0,-0.013948577456176281,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
9,0.066667,TECS_MRAC,15093.97130877152,488.39042253805934,0.3902678370116158,1.9429938540311469,9.89071405626124,0.10811314610286096,-0.0019083221725337963,-0.0158502434662693,-0.0158502434662693,0.15,0.01875,1.0,1.0,1.0,-0.013941921293735504,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
10,0.075,TECS_MRAC,15094.05399248749,488.41325206701146,0.3912503959711574,1.9221582194596636,9.958743480662042,0.1023006891326797,-0.0014776650924713517,-0.01538147852909874,-0.01538147852909874,0.15,0.020833333333333332,1.0,1.0,1.0,-0.013903813436627388,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
11,0.083333,TECS_MRAC,15094.13737590611,488.44370178201694,0.39226104295705627,1.8600555745246212,9.964564746244381,0.09637729983627187,-0.0010077080088126541,-0.014842127669082869,-0.014842127669082869,0.15,0.022916666666666665,1.0,1.0,1.0,-0.013834419660270214,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
12,0.091667,TECS_MRAC,15094.220221530646,488.47801711425245,0.3931156610283589,1.8406476147691833,9.938245899635437,0.08861046488067816,-0.0014300454288364228,-0.015255848492646294,-0.015255848492646294,0.15,0.024999999999999998,1.0,1.0,1.0,-0.013825803063809872,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
13,0.1,TECS_MRAC,15094.302818309516,488.5161178302449,0.3937948101263889,1.8621115866627194,9.880241389068907,0.08374015359699666,-0.001756907481975215,-0.015605527017540591,-0.015605527017540591,0.15,0.02708333333333333,1.0,1.0,1.0,-0.013848619535565376,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
14,0.108333,TECS_MRAC,15094.384801276028,488.54659113237045,0.3943517886562368,1.9251140146362358,9.884674075580106,0.07904167473188403,-0.0021288146255148874,-0.016031230146957776,-0.016031230146957776,0.15,0.029166666666666664,1.0,1.0,1.0,-0.01390241552144289,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
15,0.116667,TECS_MRAC,15094.467408139259,488.5731922274029,0.3949724837019961,1.9456531866737563,9.921157735244623,0.07484570257244111,-0.0016251902926095903,-0.01552039830864753,-0.01552039830864753,0.15,0.031249999999999997,1.0,1.0,1.0,-0.013895208016037941,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
16,0.125,TECS_MRAC,15094.550347086042,488.5960001801132,0.3956758589194639,1.9257722629063307,9.989562992602691,0.06735245807291314,-0.0012278646304279188,-0.015084518685844503,-0.015084518685844503,0.15,0.03333333333333333,1.0,1.0,1.0,-0.013856654055416584,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
17,0.133333,TECS_MRAC,15094.633988622576,488.62641912155306,0.39639366191420855,1.8645772159070344,9.995744834774897,0.059984747177744234,-0.0007900160777589867,-0.014576906621756274,-0.014576906621756274,0.15,0.035416666666666666,1.0,1.0,1.0,-0.013786890543997288,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
18,0.141667,TECS_MRAC,15094.717095524073,488.66069720363663,0.3969435216158954,1.846048663906004,9.969738463278361,0.051015499328916525,-0.001243436918178251,-0.015021356031814268,-0.015021356031814268,0.15,0.0375,1.0,1.0,1.0,-0.013777919113636017,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
19,0.15,TECS_MRAC,15094.799955882132,488.6987541565775,0.39730803777437546,1.8684150779900703,9.912009853817764,0.04517926112410338,-0.0016010101280552293,-0.015401439308319703,-0.015401439308319703,0.15,0.03958333333333333,1.0,1.0,1.0,-0.013800429180264473,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
20,0.158333,TECS_MRAC,15094.882204599679,488.72918526532555,0.3975422033098562,1.9323252725287672,9.916592783459954,0.03974401795270677,-0.002002565579313477,-0.0158565178679411,-0.0158565178679411,0.15,0.041666666666666664,1.0,1.0,1.0,-0.013853952288627625,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
21,0.166667,TECS_MRAC,15094.965077653527,488.75574313348113,0.39783431774781186,1.9537201512796925,9.953135546149843,0.03502745266476965,-0.0015285636551650393,-0.015375159426775776,-0.015375159426775776,0.15,0.04375,1.0,1.0,1.0,-0.013846595771610737,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
22,0.175,TECS_MRAC,15095.04828300327,488.7785068710756,0.39820545451776523,1.9346531610487505,10.021519861573745,0.027226551765221617,-0.0011591911285101493,-0.014967173334854754,-0.014967173334854754,0.15,0.04583333333333333,1.0,1.0,1.0,-0.013807982206344604,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
23,0.183333,TECS_MRAC,15095.132190488279,488.8088726244464,0.39858888847516666,1.8742214693708001,10.02758606538999,0.019757786790751176,-0.0007478529605632555,-0.014486089350617482,-0.014486089350617482,0.15,0.04791666666666666,1.0,1.0,1.0,-0.013738236390054226,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
24,0.191667,TECS_MRAC,15095.21556192264,488.84309153709523,0.39880964874184294,1.8533595989735947,10.001545745379048,0.010897459113689797,-0.0012268283806942755,-0.01495620416777361,-0.01495620416777361,0.15,0.049999999999999996,1.0,1.0,1.0,-0.013729375787079334,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
25,0.2,TECS_MRAC,15095.298687476665,488.88108314405497,0.3988456669151227,1.8734995074471892,9.94374112541626,0.005338175747991367,-0.0016031735369356822,-0.015355090124288436,-0.015355090124288436,0.15,0.05208333333333333,1.0,1.0,1.0,-0.013751916587352753,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
26,0.208333,TECS_MRAC,15095.381200164557,488.9114515006863,0.39875258827603616,1.935214389211993,9.948108265571406,0.00032055632260779773,-0.0020270153612759545,-0.015832526768830103,-0.015832526768830103,0.15,0.05416666666666666,1.0,1.0,1.0,-0.01380551140755415,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
27,0.216667,TECS_MRAC,15095.464334458113,488.93794608387174,0.3987208549299916,1.9544343224745067,9.984381458411052,-0.0037857109612339413,-0.00157551195919973,-0.015373875465993706,-0.015373875465993706,0.15,0.056249999999999994,1.0,1.0,1.0,-0.013798363506793976,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
28,0.225,TECS_MRAC,15095.547798886895,488.9606462258981,0.3987721692375987,1.9331767563915867,10.052405388451685,-0.010789133806267094,-0.001226069307357287,-0.014986080019206023,-0.014986080019206023,0.15,0.05833333333333333,1.0,1.0,1.0,-0.013760010711848736,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
29,0.233333,TECS_MRAC,15095.631961926818,488.99094035087796,0.39884174010183465,1.8705784475060308,10.058210090121527,-0.017298356364947916,-0.0008340369437573374,-0.014524651085281176,-0.014524651085281176,0.15,0.06041666666666666,1.0,1.0,1.0,-0.013690614141523838,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
30,0.241667,TECS_MRAC,15095.715587817132,489.02508209212203,0.3987499179680482,1.8507753520723664,10.031769397481408,-0.02507901172667859,-0.001328737788910303,-0.015010744647199545,-0.015010744647199545,0.15,0.06249999999999999,1.0,1.0,1.0,-0.013682006858289242,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
31,0.25,TECS_MRAC,15095.798963084817,489.0629915073271,0.39848204261366943,1.8719404069775796,9.973542410107736,-0.029420134211976638,-0.0017254333868947991,-0.0154303684756485,-0.0154303684756485,0.15,0.06458333333333333,1.0,1.0,1.0,-0.0137049350887537,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
32,0.258333,TECS_MRAC,15095.881722278893,489.09328023964,0.3980962327062856,1.93474073840118,9.977427753842809,-0.03306623142023637,-0.0021633493602080363,-0.015922289982418538,-0.015922289982418538,0.15,0.06666666666666667,1.0,1.0,1.0,-0.013758940622210503,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
33,0.266667,TECS_MRAC,15095.965098690242,489.11969588047475,0.3977832317833624,1.9549973964297807,10.013142346462743,-0.035700827364246394,-0.0017237308272935897,-0.015475991072676375,-0.015475991072676375,0.15,0.06875,1.0,1.0,1.0,-0.013752260245382786,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
34,0.275,TECS_MRAC,15096.048800196499,489.1423179043756,0.397566190503728,1.9347537177970835,10.08056272851881,-0.04114719995630107,-0.0013852257950054824,-0.015099675275181454,-0.015099675275181454,0.15,0.07083333333333335,1.0,1.0,1.0,-0.013714449480175972,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
35,0.283333,TECS_MRAC,15096.133195217699,489.17252680137614,0.3973806733174175,1.8731185675325972,10.085783652359003,-0.04601973539902668,-0.001001979316080622,-0.014647618959153704,-0.014647618959153704,0.15,0.07291666666666669,1.0,1.0,1.0,-0.013645639643073082,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
36,0.291667,TECS_MRAC,15096.21704851836,489.20657908514096,0.3970475711369337,1.854287919511457,10.058749287802442,-0.052084182060417844,-0.0015036163299331647,-0.015141215865219592,-0.015141215865219592,0.15,0.07500000000000002,1.0,1.0,1.0,-0.013637599535286427,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0
