step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,residual_enabled,rl_residual,interlock_tripped
25,0.2,HYBRID,15095.279613994062,488.88629410225997,0.3123763487877711,1.8735966357158669,9.6842657231864,-0.5365148940953323,-0.011781899010495887,-0.013676681865861653,-0.013676681865861653,0.15,0.05208333333333333,0.8614588776759274,1.0,1.1608215155874109,0.0,0.0,0.0,1.0,1.0,0.8614588776759274,1.0,0,0.0,0
26,0.208333,HYBRID,15095.35988323018,488.91633541118875,0.3077702989158517,1.935335894354839,9.669137031061807,-0.5283576765657885,-0.012471408293841704,-0.013925459317134677,-0.013925459317134677,0.15,0.05416666666666666,0.8955832629876829,1.0,1.1165907641730384,0.0,0.0,0.0,1.0,1.0,0.8955832629876829,1.0,0,0.0,0
27,0.216667,HYBRID,15095.440609615296,488.94250895047134,0.3033354268830585,1.9545405948314991,9.68527324644651,-0.5198365170523332,-0.012278509987132856,-0.013216157188813256,-0.013216157188813256,0.15,0.056249999999999994,0.9290529623486874,1.0,1.0763649011698486,0.0,0.0,0.0,1.0,1.0,0.9290529623486874,1.0,0,0.0,0
28,0.225,HYBRID,15095.52149533853,488.96488834273185,0.29908887307233956,1.9332257779562403,9.732564910225882,-0.514877861641105,-0.012178494847797297,-0.012782877559508563,-0.012782877559508563,0.15,0.05833333333333333,0.9527193537685343,1.0,1.0496270449891087,0.0,0.0,0.0,1.0,1.0,0.9527193537685343,1.0,0,0.0,0
29,0.233333,HYBRID,15095.60290459171,488.99484559389845,0.294960221820452,1.8705201411072203,9.717133273047585,-0.5091481490015167,-0.012033240163927691,-0.012509393396417604,-0.012509393396417604,0.15,0.06041666666666666,0.9619363451607277,1.0,1.0395698270792673,0.0,0.0,0.0,1.0,1.0,0.9619363451607277,1.0,0,0.0,0
30,0.241667,HYBRID,15095.683597937226,489.0286201331312,0.29077197803222055,1.8506577508021311,9.669040604593443,-0.5033037547108375,-0.012770648333546302,-0.013159943103124839,-0.013159943103124839,0.15,0.06249999999999999,0.9704182026831031,1.0,1.030483555682598,0.0,0.0,0.0,1.0,1.0,0.9704182026831031,1.0,0,0.0,0
31,0.25,HYBRID,15095.763858802617,489.06614221612597,0.28652102053208767,1.8718127542532528,9.588749241523345,-0.49280233967238274,-0.013398768266397463,-0.013708770507104884,-0.013708770507104884,0.15,0.06458333333333333,0.9773865759480944,1.0,1.0231366223031761,0.0,0.0,0.0,1.0,1.0,0.9773865759480944,1.0,0,0.0,0
32,0.258333,HYBRID,15095.843318011612,489.09602581326794,0.2822757001869356,1.9346623104767353,9.570194129068916,-0.48055748312436825,-0.014051443718220749,-0.014240906809608756,-0.014240906809608756,0.15,0.06666666666666667,0.986695854841198,1.0,1.013483532026131,0.0,0.0,0.0,1.0,1.0,0.986695854841198,1.0,0,0.0,0
33,0.266667,HYBRID,15095.92320600152,489.12202724240035,0.27823566712514425,1.954919213087136,9.583102338663295,-0.4667334739927898,-0.013810018721490298,-0.013907569532069815,-0.013907569532069815,0.15,0.06875,0.9929857758140578,1.0,1.0070637710597534,0.0,0.0,0.0,1.0,1.0,0.9929857758140578,1.0,0,0.0,0
34,0.275,HYBRID,15096.003227543086,489.1442176289874,0.2744288235847513,1.9346254431654317,9.62742227095723,-0.45482269935611713,-0.013654519099074171,-0.013703241292193262,-0.013703241292193262,0.15,0.07083333333333335,0.996444476742386,1.0,1.003568210111654,0.0,0.0,0.0,1.0,1.0,0.996444476742386,1.0,0,0.0,0
35,0.283333,HYBRID,15096.083749115467,489.1739767090749,0.27079811247084234,1.8728795649040035,9.609290288814933,-0.4412412229822193,-0.013439957678049013,-0.013466526614358912,-0.013466526614358912,0.15,0.07291666666666669,0.9980270386662609,1.0,1.0019768616052485,0.0,0.0,0.0,1.0,1.0,0.9980270386662609,1.0,0,0.0,0
36,0.291667,HYBRID,15096.163533456624,489.2075588914858,0.2671733654300451,1.853994586036319,9.558701521589182,-0.4275872938518233,-0.014093652733748043,-0.014108137384718729,-0.014108137384718729,0.15,0.07500000000000002,0.998973312310782,1.0,1.0010277428601602,0.0,0.0,0.0,1.0,1.0,0.998973312310782,1.0,0,0.0,0
37,0.3,HYBRID,15096.242865141481,489.24489319247994,0.26355123327893604,1.8761622191727536,9.476147329684954,-0.4095532301989603,-0.014629482885488905,-0.014637073158658627,-0.014637073158658627,0.15,0.07708333333333336,0.9994814350459654,1.0,1.0005188340031657,0.0,0.0,0.0,1.0,1.0,0.9994814350459654,1.0,0,0.0,0
38,0.308333,HYBRID,15096.321377385408,489.27460129037564,0.25999740625572404,1.940041233749985,9.455486452820402,-0.3901084201099061,-0.015185490459772903,-0.015193369205487039,-0.015193369205487039,0.15,0.0791666666666667,0.9994814352493133,1.0,1.0005188337996067,0.0,0.0,0.0,1.0,1.0,0.9994814352493133,1.0,0,0.0,0
39,0.316667,HYBRID,15096.40030124411,489.30043321786957,0.2567091438546074,1.961264516132478,9.466497996555539,-0.3692206378263062,-0.01484573492809613,-0.014853437397153944,-0.014853437397153944,0.15,0.08125000000000004,0.9994814352495074,1.0,1.0005188337994124,0.0,0.0,0.0,1.0,1.0,0.9994814352495074,1.0,0,0.0,0
40,0.325,HYBRID,15096.47934390232,489.3224641880255,0.25371359754425016,1.9418877022440586,9.509135099890553,-0.35054066410378243,-0.01458870294950691,-0.0145962720616867,-0.0145962720616867,0.15,0.08333333333333338,0.9994814352495075,1.0,1.0005188337994122,0.0,0.0,0.0,1.0,1.0,0.9994814352495075,1.0,0,0.0,0
41,0.333333,HYBRID,15096.558873478323,489.3520693416307,0.2509509944316965,1.8809962248296115,9.48953316649284,-0.3307209253849375,-0.014269194508932501,-0.014276597849218881,-0.014276597849218881,0.15,0.08541666666666672,0.9994814352575753,1.0,1.000518833791336,0.0,0.0,0.0,1.0,1.0,0.9994814352575753,1.0,0,0.0,0
42,0.341667,HYBRID,15096.637654457241,489.38550711807613,0.24825044580350983,1.8608621359003803,9.437795397162798,-0.311496466026976,-0.014816435997584086,-0.014824123265246526,-0.014824123265246526,0.15,0.08750000000000006,0.9994814352575937,1.0,1.0005188337913176,0.0,0.0,0.0,1.0,1.0,0.9994814352575937,1.0,0,0.0,0
43,0.35,HYBRID,15096.715974912047,489.4227066220489,0.24559866274505715,1.8818633029185132,9.354330532149316,-0.2886383081992541,-0.01524241877050056,-0.015250327052411953,-0.015250327052411953,0.15,0.0895833333333334,0.9994814352581284,1.0,1.0005188337907824,0.0,0.0,0.0,1.0,1.0,0.9994814352581284,1.0,0,0.0,0
