seed,alt_ft,vc_kts,gamma_true,mode,integrity_source,fault_onset_s,noise,max_abs_dh,ise_h,max_abs_q,max_abs_theta,min_theta,max_theta,control_effort,residual_steps,crash,interlock,detect_delay_s,mae_gamma_online,final_h,final_vc,ok,note
0,15000.0,400.0,0.8,FULL_STACK,oracle,18.778014593675813,0,568.2536236830056,7042572.412415462,0.15907895606801742,0.4181366156043766,-0.0745493107925927,0.4181366156043766,0.004226922272550475,4872,0,0,0.5136520729897605,0.01137110341653463,15661.484535738826,560.9798990401338,1,
1,15000.0,400.0,0.8,FULL_STACK,oracle,19.963734071409363,0,568.2814966514707,7040637.73620016,0.15907895606801742,0.4181366156043766,-0.0744736945735984,0.4181366156043766,0.004217161028665263,4733,0,0,0.5279325952561429,0.011427991822669122,15661.51240870729,560.9789597346378,1,
2,15000.0,400.0,0.8,FULL_STACK,oracle,16.950675073280507,0,568.19146194309,7044924.930603064,0.15907895606801742,0.4181366156043766,-0.07447178091982791,0.4181366156043766,0.004237988840414497,5094,0,0,0.5493249267185014,0.011212503255785536,15661.42237399891,560.9815563038239,1,
3,15000.0,400.0,0.8,FULL_STACK,oracle,14.440845787492234,0,568.137178093195,7047910.647298149,0.15907895606801742,0.4181366156043766,-0.07446697425668229,0.4181366156043766,0.004247078643617208,5398,0,0,0.47582087917358784,0.011092819646992234,15661.368090149015,560.9830395828893,1,
4,15000.0,400.0,0.8,FULL_STACK,oracle,12.011445885629294,0,568.0539990589023,7049621.698708991,0.15907895606801742,0.4181366156043766,-0.07447795578469914,0.4181366156043766,0.004250365845050878,5687,0,0,0.5552207810366578,0.010823638219110858,15661.284911114722,560.9847387482689,1,
5,15000.0,400.0,0.8,FULL_STACK,oracle,13.068849249882618,0,568.1164364926517,7048952.005386799,0.15907895606801742,0.4181366156043766,-0.07457144933762203,0.4181366156043766,0.004249780558341703,5558,0,0,0.5811507501166062,0.010936570303441988,15661.347348548472,560.9834746460181,1,
6,15000.0,400.0,0.8,FULL_STACK,oracle,16.37997863644672,0,568.1861403509974,7045691.934298148,0.15907895606801742,0.4181366156043766,-0.07444196609683185,0.4181366156043766,0.004240803205301347,5163,0,0,0.5366880302189898,0.011119786163572608,15661.417052406818,560.9817726264915,1,
7,15000.0,400.0,0.8,FULL_STACK,oracle,12.925924186991516,0,568.0911606661975,7049082.855271406,0.15907895606801742,0.4181366156043766,-0.0745558617062423,0.4181366156043766,0.004249734714460873,5577,0,0,0.5324091463410525,0.010843708055261926,15661.322072722018,560.9839917498272,1,
8,15000.0,400.0,0.8,FULL_STACK,oracle,14.174285737710044,0,568.1312194876373,7048209.3080234835,0.15907895606801742,0.4181366156043766,-0.07449790063912567,0.4181366156043766,0.004247737496472046,5421,0,0,0.5923809289557873,0.011064892464841653,15661.362131543458,560.9832249580513,1,
9,15000.0,400.0,0.8,FULL_STACK,oracle,12.73450600669471,0,568.1088828891516,7049566.199142061,0.15907895606801742,0.4181366156043766,-0.07458278674845877,0.4181366156043766,0.004250141477850662,5600,0,0,0.5238273266378695,0.011110481851771119,15661.339794944972,560.983762792737,1,
