case,gamma_remaining,loss_percent,max_abs_dh,min_theta,max_theta,max_roll,interlock,crash,residual_steps
BASELINE,0.8,19.999999999999996,571.5348919779062,-0.0570392527441118,0.3845246721423063,3.34118755749206,False,False,0
TECS_MRAC,0.8,19.999999999999996,565.3847452551126,-0.0728647874619655,0.3988456669151227,3.372412183064857,False,False,0
HYBRID,0.8,19.999999999999996,562.8202476873994,-0.0557851668763592,0.3845246721423063,3.2975412570618343,False,False,0
FULL_STACK,0.8,19.999999999999996,561.3744486421365,-0.0756041177730121,0.4878313717370989,3.342699145381256,False,False,5340
