step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,phi_twin_gamma_hat,phi_twin_conf,residual_enabled,rl_residual,interlock_tripped
11,0.083333,FULL_STACK,15094.13857010752,488.4413582301934,0.4039131049395199,1.860062953384502,9.99430619670293,0.2978392212064703,0.0012558935303718225,-0.014727798140464743,-0.014727798140464743,0.15,0.022916666666666665,0.8522839264597544,1.0,1.173317915490714,-0.013808159157633781,0.0,0.0,1.0,1.0,0.8522839264597544,1.0,1.0,0.0,0,0.0,0
12,0.091667,FULL_STACK,15094.221677973866,488.47572545487014,0.4064456698870811,1.8406574217830622,9.971830499046598,0.28504807084001743,0.0009195966205388113,-0.01510945033526446,-0.01510945033526446,0.15,0.024999999999999998,0.8522308914361589,1.0,1.1733909320217484,-0.013796336948871613,0.0,0.0,1.0,1.0,0.8522308914361589,1.0,1.0,0.0,0,0.0,0
13,0.1,FULL_STACK,15094.304572761059,488.51391250823747,0.408760919130668,1.8621175711698008,9.917812614038734,0.27475981304262376,0.000664981597988285,-0.016946121747583993,-0.016946121747583993,0.15,0.02708333333333333,0.7760106034741606,1.0,1.2886421854586136,-0.013815351761877537,0.0,0.0,1.0,1.0,0.7760106034741606,0.6,1.0,0.0,0,0.0,0
14,0.108333,FULL_STACK,15094.386885926127,488.54435061117744,0.4109088623643494,1.9251084864133756,9.926995279715161,0.27167715021505945,0.0003775712801026747,-0.019524537506238497,-0.019524537506238497,0.15,0.029166666666666664,0.6908042376707706,1.0,1.4475881088566636,-0.013865204527974129,0.0,0.0,1.0,1.0,0.6908042376707706,0.6,1.0,0.0,0,0.0,0
15,0.116667,FULL_STACK,15094.469867922366,488.570780862321,0.41313396380495476,1.9456436756240878,9.969115458712862,0.27931858701515133,0.0009813833668117808,-0.01932822480437026,-0.01932822480437026,0.15,0.031249999999999997,0.6659649254012658,1.0,1.5015805815861354,-0.013853303156793118,0.0,0.0,1.0,1.0,0.6659649254012658,0.6,1.0,0.0,0,0.0,0
16,0.125,FULL_STACK,15094.553233072162,488.5934600300255,0.4155403221445252,1.925767066547205,10.043406390481959,0.28478767100294305,0.001538439722687451,-0.01730012468215382,-0.01730012468215382,0.15,0.03333333333333333,0.7092860656188469,1.0,1.4098683852297413,-0.013809177093207836,0.0,0.0,1.0,1.0,0.7092860656188469,0.6,1.0,0.0,0,0.0,0
17,0.133333,FULL_STACK,15094.637348700315,488.62390401129403,0.4180690762651107,1.8645864585308776,10.055263585453012,0.28216747303983236,0.0021913987790932246,-0.015505428370831275,-0.015505428370831275,0.15,0.035416666666666666,0.7443969789520345,1.0,1.3433692347970092,-0.013733592815697193,0.0,0.0,1.0,1.0,0.7443969789520345,0.6,1.0,0.0,0,0.0,0
18,0.141667,FULL_STACK,15094.720974504948,488.6582804373566,0.4204694837381035,1.8460473716537869,10.034979689859739,0.2712956302841637,0.0019451697222497722,-0.016349082480319924,-0.016349082480319924,0.15,0.0375,0.7201530355033277,1.0,1.388593744246433,-0.013719011098146439,0.0,0.0,1.0,1.0,0.7201530355033277,0.6,1.0,0.0,0,0.0,0
19,0.15,FULL_STACK,15094.804402545094,488.6963721805475,0.42266871865861433,1.8683927463479721,9.983534448134437,0.26522068445067304,0.0017449805904509112,-0.01825154999036301,-0.01825154999036301,0.15,0.03958333333333333,0.6569792837646717,1.0,1.5221180099770046,-0.013735870830714703,0.0,0.0,1.0,1.0,0.6569792837646717,0.6,1.0,0.0,0,0.0,0
20,0.158333,FULL_STACK,15094.88727543503,488.72672603480504,0.42473560816934375,1.9322687071866123,9.995190813989865,0.26668239174262315,0.0014749588507449699,-0.01942512319655571,-0.01942512319655571,0.15,0.041666666666666664,0.6336244710916895,1.0,1.5782218737181533,-0.01378319226205349,0.0,0.0,1.0,1.0,0.6336244710916895,0.6,1.0,0.0,0,0.0,0
21,0.166667,FULL_STACK,15094.970835682005,488.7531959227372,0.426917854940847,1.9536418888690161,10.039249589825966,0.2719935665913143,0.002106463818294121,-0.018365807378942906,-0.018365807378942906,0.15,0.04375,0.6350054079737455,1.0,1.5747897379188074,-0.013768850825726986,0.0,0.0,1.0,1.0,0.6350054079737455,0.6,1.0,0.0,0,0.0,0
