case,gamma_remaining,loss_percent,max_abs_dh,min_theta,max_theta,max_roll,interlock,crash,residual_steps
BASELINE,0.5,50.0,578.8259728178382,-0.0577324800993458,0.3845246721423063,3.3150215132552687,False,False,0
TECS_MRAC,0.5,50.0,572.4285622797906,-0.0729610192436078,0.3988456669151227,3.3463221706697324,False,False,0
HYBRID,0.5,50.0,564.8375034108758,-0.0559675661228434,0.3845246721423063,3.3583054207626155,False,False,0
FULL_STACK,0.5,50.0,563.3097597546875,-0.0854267875173795,0.4878313717370989,3.369871110816593,False,False,5340
