alt_ft,vc_kts,gamma,mode,integrity_source,noise,n,mean_max_dh,std_max_dh,mean_ise_h,mean_effort,mean_max_q,crash_rate,mean_detect_delay_s,mean_mae_gamma_online
15000.0,400.0,0.5,BASELINE,none,1,10,580.7816473022103,0.0,7160094.981625384,0.009357160748664673,0.5626567344364675,0.0,nan,0.5
15000.0,400.0,0.5,FULL_STACK,oracle,1,10,569.9087745524943,0.012631490128882763,7106608.877044013,0.009461687490567925,0.1590781224796422,0.0,0.22666666666580468,0.015996600157401373
15000.0,400.0,0.5,HYBRID,oracle,1,10,564.9860092580318,0.016125246643654646,6943193.358041661,0.009465810640743703,0.1590781224796422,0.0,0.22666666666580468,0.015996600157401373
15000.0,400.0,0.8,BASELINE,none,1,10,573.4905584529042,0.0,6959614.161262509,0.004189145663186629,0.5626567344364675,0.0,nan,0.20000000000002008
15000.0,400.0,0.8,FULL_STACK,oracle,1,10,568.1446227274835,0.011430517109228246,7047064.214370075,0.0042455566705826425,0.1590781224796422,0.0,0.5299999999991207,0.011024555670779165
15000.0,400.0,0.8,HYBRID,oracle,1,10,564.9854111950845,0.01716248820334716,6942698.590314975,0.004247038594612109,0.1590781224796422,0.0,0.5299999999991207,0.011024555670779165
