alt_ft,vc_kts,gamma,noise,mode,baseline_mean,mode_mean,delta_mode_minus_baseline,ci95_lo,ci95_hi,improves
15000.0,400.0,0.5,1,FULL_STACK,580.7816473022103,569.9087745524943,-10.872872749716066,-10.880215516490818,-10.865596070354783,True
15000.0,400.0,0.5,1,HYBRID,580.7816473022103,564.9860092580318,-15.795638044178531,-15.805655350293964,-15.786514548510358,True
15000.0,400.0,0.8,1,FULL_STACK,573.4905584529042,568.1446227274835,-5.345935725420759,-5.352596841156506,-5.339120519841069,True
15000.0,400.0,0.8,1,HYBRID,573.4905584529042,564.9854111950845,-8.505147257819772,-8.514278105227277,-8.494005198609084,True
