seed,alt_ft,vc_kts,gamma_true,mode,integrity_source,fault_onset_s,noise,max_abs_dh,ise_h,max_abs_q,max_abs_theta,min_theta,max_theta,control_effort,residual_steps,crash,interlock,detect_delay_s,mae_gamma_online,final_h,final_vc,ok,note
9,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9020506441593,7106491.722955179,0.15907517206768765,0.4181359343035174,-0.07511755990635516,0.4181359343035174,0.009462038356099569,5371,0,0,0.19999999999913953,0.016138568898634156,15663.13296269998,560.967581678742,1,
0,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
1,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
2,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
3,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
4,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
5,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
6,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
7,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
8,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
9,15000.0,400.0,0.8,BASELINE,none,15.0,1,573.4905584529042,6959614.161262509,0.5626567344364675,0.38452467214230635,-0.05782713390479744,0.38452467214230635,0.004189145663186629,0,0,0,nan,0.20000000000002008,15666.721470508724,560.8612849429707,1,
0,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,565.0238635875285,6943324.467560763,0.15907888067618225,0.4181357481197596,-0.07348529129766729,0.4181357481197596,0.004247706135587242,0,0,0,0.5416666666657868,0.010901265799526003,15658.254775643349,561.0098045956172,1,
1,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9909797981381,6942835.342463443,0.15907858579084216,0.4181366781769482,-0.07374463538673467,0.4181366781769482,0.004247248528725642,0,0,0,0.5166666666657882,0.010976090460725889,15658.221891853958,561.0103620427168,1,
2,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9773783572018,6942759.459693051,0.15907966422135383,0.41813659829008143,-0.07360803471495368,0.41813659829008143,0.004246684499441251,0,0,0,0.5333333333324539,0.010924400466650925,15658.208290413022,561.0106037626305,1,
3,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9928200319409,6942558.243705454,0.15907889705404987,0.41813656560603846,-0.0737022092333637,0.41813656560603846,0.00424721291504423,0,0,0,0.5999999999991168,0.011122247682745235,15658.223732087761,561.0101852879757,1,
4,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.981594979763,6942741.7217776505,0.15907758181547352,0.418136457353014,-0.07338165508284036,0.418136457353014,0.004246834316378312,0,0,0,0.4583333333324582,0.010956117996925476,15658.212507035583,561.0105489041104,1,
5,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9942527078092,6942794.068936355,0.15907996296421717,0.41813749875329637,-0.07338774948677967,0.41813749875329637,0.004247126475202248,0,0,0,0.5166666666657882,0.01123663336369521,15658.22516476363,561.0101929872387,1,
6,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9580009505153,6942445.340773827,0.15907448807206426,0.41813505415956176,-0.07323452626787197,0.41813505415956176,0.004246534385775343,0,0,0,0.5083333333324553,0.011071313708032042,15658.188913006335,561.0108741099443,1,
7,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9778205007315,6942554.211646565,0.15908100814232173,0.4181374484445006,-0.07325496962253408,0.4181374484445006,0.004246806543631896,0,0,0,0.5999999999991168,0.010933755503581435,15658.208732556552,561.0104867114638,1,
8,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9825866147876,6942678.770843882,0.1590769839922298,0.41813601344400186,-0.07350502037437233,0.41813601344400186,0.004247184356375524,0,0,0,0.4583333333324582,0.010960856398143854,15658.213498670608,561.010486668645,1,
9,15000.0,400.0,0.8,HYBRID,oracle,15.0,1,564.9748144224286,6942294.275748766,0.15907517206768765,0.4181359343035174,-0.07345329229224466,0.4181359343035174,0.004247047789959406,0,0,0,0.5666666666657854,0.011162875327765578,15658.205726478249,561.0104741638842,1,
0,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1269732937217,7046870.005877329,0.15907888067618225,0.4181357481197596,-0.07453306321178865,0.4181357481197596,0.0042453424777884365,5326,0,0,0.5416666666657868,0.010901265799526003,15661.357885349542,560.9830410291315,1,
1,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1642989590764,7047240.907544284,0.15907858579084216,0.4181366781769482,-0.07457220541580725,0.4181366781769482,0.00424576371762923,5330,0,0,0.5166666666657882,0.010976090460725889,15661.395211014897,560.9823637616616,1,
2,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1528449766338,7047273.851238708,0.15907966422135383,0.41813659829008143,-0.0745694326666147,0.41813659829008143,0.00424553287597836,5329,0,0,0.5333333333324539,0.010924400466650925,15661.383757032454,560.9826662858219,1,
3,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1395892947912,7047009.495211048,0.15907889705404987,0.41813656560603846,-0.07443541199126522,0.41813656560603846,0.004245580604828097,5326,0,0,0.5999999999991168,0.011122247682745235,15661.370501350611,560.9828272213716,1,
4,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1586442366242,7047227.227956814,0.15907758181547352,0.418136457353014,-0.07445581411647606,0.418136457353014,0.004245737654871093,5330,0,0,0.4583333333324582,0.010956117996925476,15661.389556292444,560.9825039036792,1,
5,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1357051692903,7046893.7498813635,0.15907996296421717,0.41813749875329637,-0.07452085410287239,0.41813749875329637,0.004245486359246027,5329,0,0,0.5166666666657882,0.01123663336369521,15661.36661722511,560.982840619203,1,
6,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1470184065402,7047280.612132528,0.15907448807206426,0.41813505415956176,-0.0744851270430709,0.41813505415956176,0.004245600122608424,5327,0,0,0.5083333333324553,0.011071313708032042,15661.37793046236,560.9827570647054,1,
7,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1349481493235,7046849.767927833,0.15908100814232173,0.4181374484445006,-0.07450396799045488,0.4181374484445006,0.004245465486801507,5324,0,0,0.5999999999991168,0.010933755503581435,15661.365860205144,560.9829000221581,1,
8,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1445563435555,7047035.474830021,0.1590769839922298,0.41813601344400186,-0.07451153803752218,0.41813601344400186,0.004245518773301426,5328,0,0,0.4583333333324582,0.010960856398143854,15661.375468399376,560.9827070018135,1,
9,15000.0,400.0,0.8,FULL_STACK,oracle,15.0,1,568.1416484452784,7046961.051100823,0.15907517206768765,0.4181359343035174,-0.07447671597953402,0.4181359343035174,0.00424553863277383,5324,0,0,0.5666666666657854,0.011162875327765578,15661.372560501099,560.9827779971138,1,
