step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
12,0.091667,FULL_STACK,15094.219720192254,488.47804046006377,0.39310361565096547,1.8460939975310868,9.938052642444944,0.08865626726736735,-0.0014315818880528252,-0.01525773885444105,-0.01525773885444105,0.15,0.024999999999999998,1.0,1.0,1.0,-0.013826156966388226,0.0,0.0,1.0,1.0,0.0,False
13,0.1,FULL_STACK,15094.302315603942,488.51614109948883,0.39378474668858926,1.8673082552726634,9.88006211936044,0.08379145866712633,-0.0017558553940456088,-0.015604817656318444,-0.015604817656318444,0.15,0.02708333333333333,1.0,1.0,1.0,-0.013848962262272835,0.0,0.0,1.0,1.0,0.0,False
14,0.108333,FULL_STACK,15094.384297139943,488.5466145564209,0.3943431058807087,1.9300394202204092,9.88448742623885,0.07908223563459917,-0.0021275052177913865,-0.016030249496103117,-0.016030249496103117,0.15,0.029166666666666664,1.0,1.0,1.0,-0.01390274427831173,0.0,0.0,1.0,1.0,0.0,False
15,0.116667,FULL_STACK,15094.46690235287,488.57321575793605,0.3949653057986991,1.9503097221557515,9.920972064707119,0.07487873475568715,-0.0016243554154238783,-0.015519899638911256,-0.015519899638911256,0.15,0.031249999999999997,1.0,1.0,1.0,-0.013895544223487377,0.0,0.0,1.0,1.0,0.0,False
16,0.125,FULL_STACK,15094.54983977601,488.59602377457225,0.3956701298521737,1.9301523777266598,9.989375479925673,0.06738423276395508,-0.0012267956050443657,-0.015083784936587812,-0.015083784936587812,0.15,0.03333333333333333,1.0,1.0,1.0,-0.013856989331543446,0.0,0.0,1.0,1.0,0.0,False
17,0.133333,FULL_STACK,15094.633479736745,488.62644281429243,0.3963894312648698,1.868684900814334,9.995563074635404,0.06001670258869582,-0.0007889082853856903,-0.014576135968154989,-0.014576135968154989,0.15,0.035416666666666666,1.0,1.0,1.0,-0.013787227682769299,0.0,0.0,1.0,1.0,0.0,False
18,0.141667,FULL_STACK,15094.716585170478,488.66072099143315,0.3969403898595984,1.849923898216902,9.969562247917105,0.051043902135247864,-0.0012421254951769053,-0.015020376159649485,-0.015020376159649485,0.15,0.0375,1.0,1.0,1.0,-0.01377825066447258,0.0,0.0,1.0,1.0,0.0,False
19,0.15,FULL_STACK,15094.7994440794,488.69877805536083,0.3973055633669193,1.8720544836211983,9.91183416953813,0.04520049137219359,-0.0015998659180125785,-0.015400621061178166,-0.015400621061178166,0.15,0.03958333333333333,1.0,1.0,1.0,-0.013800755143165588,0.0,0.0,1.0,1.0,0.0,False
20,0.158333,FULL_STACK,15094.881691318005,488.7292092582485,0.3975401532157571,1.9357340587878076,9.916414046306045,0.03975723562419881,-0.0020016975370809663,-0.015855975788609707,-0.015855975788609707,0.15,0.041666666666666664,1.0,1.0,1.0,-0.01385427825152874,0.0,0.0,1.0,1.0,0.0,False
21,0.166667,FULL_STACK,15094.964562863111,488.755767201106,0.3978327907666355,1.9569036423874189,9.95295665272333,0.03503627274330765,-0.0015278562334874635,-0.01537478076196704,-0.01537478076196704,0.15,0.04375,1.0,1.0,1.0,-0.013846924528479576,0.0,0.0,1.0,1.0,0.0,False
22,0.175,FULL_STACK,15095.04776673019,488.7785310099987,0.39820448648794005,1.9376122924283559,10.0213402254767,0.02723376944844593,-0.001158373422084014,-0.014966684385297458,-0.014966684385297458,0.15,0.04583333333333333,1.0,1.0,1.0,-0.013808310963213444,0.0,0.0,1.0,1.0,0.0,False
23,0.183333,FULL_STACK,15095.131672713906,488.8088968653281,0.3985885257104622,1.8769617557665825,10.027433213499497,0.019763827488988268,-0.0007469841521030941,-0.014485550230348735,-0.014485550230348735,0.15,0.04791666666666666,1.0,1.0,1.0,-0.01373856607824564,0.0,0.0,1.0,1.0,0.0,False
24,0.191667,FULL_STACK,15095.215043082833,488.8431158449895,0.39880805746545,1.8566687250933427,10.001388760302296,0.0108982154928065,-0.0012256348567086244,-0.014955314254947283,-0.014955314254947283,0.15,0.049999999999999996,1.0,1.0,1.0,-0.013729679398238659,0.0,0.0,1.0,1.0,0.0,False
