step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
11,0.083333,HYBRID,15094.134538836777,488.4505279221134,0.3689608025628653,1.8657674517812168,9.897276967750672,-0.4571713374172926,-0.00592974478511424,-0.00592974478511424,-0.00592974478511424,0.15,0.022916666666666665,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
12,0.091667,HYBRID,15094.216778185219,488.4851853320165,0.3652065114604685,1.8460947157114336,9.859961407413632,-0.497741258585463,-0.006959381392604037,-0.006959381392604037,-0.006959381392604037,0.15,0.024999999999999998,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
13,0.1,HYBRID,15094.298673849553,488.52357050468976,0.36100359198088916,1.8673366130189657,9.790026857868732,-0.5312113100981941,-0.00788259820085882,-0.00788259820085882,-0.00788259820085882,0.15,0.02708333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
14,0.108333,HYBRID,15094.379852078855,488.5542713900317,0.35643970538489167,1.9301111296024023,9.781558449534028,-0.5605051106139589,-0.008842463078868603,-0.008842463078868603,-0.008842463078868603,0.15,0.029166666666666664,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
15,0.116667,HYBRID,15094.461542528123,488.58104500347,0.3517349400997446,1.9504076034635558,9.80419039995469,-0.5854792570418129,-0.008916224966055096,-0.008916224966055096,-0.008916224966055096,0.15,0.031249999999999997,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
16,0.125,HYBRID,15094.54344572872,488.6039642846772,0.3469398314203295,1.9302570688387826,9.8578088756513,-0.6096935946214881,-0.009083318562030488,-0.009083318562030488,-0.009083318562030488,0.15,0.03333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
17,0.133333,HYBRID,15094.625924456865,488.6344334306214,0.3420199140059477,1.8687719629607076,9.84829387654408,-0.6296760702556925,-0.009195829221576414,-0.009195829221576414,-0.009195829221576414,0.15,0.035416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
18,0.141667,HYBRID,15094.70773403719,488.66869924655805,0.33682652861543416,1.8500179747390737,9.80569385315366,-0.6471109432664132,-0.010181660645867702,-0.010181660645867702,-0.010181660645867702,0.15,0.0375,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
19,0.15,HYBRID,15094.789155095816,488.70668925871956,0.33137684829463393,1.8721833967996557,9.73046697505376,-0.6576940396007339,-0.011051387315353932,-0.011051387315353932,-0.011051387315353932,0.15,0.03958333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
20,0.158333,HYBRID,15094.869814917445,488.73700076390276,0.32575713018851793,1.9359315753650264,9.716668003582795,-0.6644231165303612,-0.011942995147720539,-0.011942995147720539,-0.011942995147720539,0.15,0.041666666666666664,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
21,0.166667,HYBRID,15094.950942263007,488.763390553848,0.32018483581030616,1.9571371469106844,9.733973598541844,-0.6672770725428402,-0.011937040255210592,-0.011937040255210592,-0.011937040255210592,0.15,0.04375,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
22,0.175,HYBRID,15095.032238136977,488.78593311615623,0.3147072353394567,1.93784680105543,9.782317840469958,-0.6699033037384654,-0.012013462735991114,-0.012013462735991114,-0.012013462735991114,0.15,0.04583333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
