alt_ft,vc_kts,gamma,mode,integrity_source,noise,n,mean_max_dh,std_max_dh,mean_ise_h,mean_effort,mean_max_q,crash_rate,mean_detect_delay_s,mean_mae_gamma_online
10000.0,300.0,0.5,BASELINE,none,0,20,1445.8870186805725,0.0,42394079.83700712,0.05608576362658069,1.3408289073373454,0.0,nan,0.5
10000.0,300.0,0.5,CLASSICAL_KAPPA,oracle,0,20,1421.6369373420252,0.03131896346756558,40867103.78452937,0.05612061975644966,1.3408289073373454,0.0,0.2237499999991382,0.016019453674067537
10000.0,300.0,0.5,FULL_STACK,oracle,0,20,1486.2063099944965,0.02193540152454504,48472211.646866605,0.056625634829295335,3.8917472899742327,0.0,0.2237499999991382,0.016019453674067537
10000.0,300.0,0.5,HYBRID,oracle,0,20,1441.1692558832467,0.01968097363268439,44629947.04629234,0.05618330885465002,3.8917472899742327,0.0,0.2237499999991382,0.016019453674067537
10000.0,300.0,0.5,TECS_MRAC,none,0,20,1464.5453892201185,0.0,46080580.01597391,0.056122251019377824,3.8917472899742327,0.0,nan,0.5
10000.0,300.0,0.6,BASELINE,none,0,20,1437.8115580566227,0.0,41882571.305121094,0.04045310471960483,1.3408289073373454,0.0,nan,0.40000000000004016
10000.0,300.0,0.6,CLASSICAL_KAPPA,oracle,0,20,1421.6245455957949,0.02736633466629357,40867917.31295265,0.040472404039319995,1.3408289073373454,0.0,0.2616666666658027,0.014362367437732223
10000.0,300.0,0.6,FULL_STACK,oracle,0,20,1484.4048879457637,0.018358041390940747,48315244.198709264,0.04110421055003708,3.8917472899742327,0.0,0.2616666666658027,0.014362367437732223
10000.0,300.0,0.6,HYBRID,oracle,0,20,1441.1502387411892,0.024668440074905724,44631046.56580584,0.04080199471654484,3.8917472899742327,0.0,0.2616666666658027,0.014362367437732223
10000.0,300.0,0.6,TECS_MRAC,none,0,20,1456.7625194229186,0.0,45596317.6513004,0.04077119873185554,3.8917472899742327,0.0,nan,0.40000000000004016
10000.0,300.0,0.8,BASELINE,none,0,20,1427.6840929873288,0.0,41248343.740299605,0.024913595870309155,1.3408289073373454,0.0,nan,0.20000000000002008
10000.0,300.0,0.8,CLASSICAL_KAPPA,oracle,0,20,1421.5923153268172,0.019721265160301205,40868827.80875195,0.02491999219430933,1.3408289073373454,0.0,0.5254166666657877,0.011049047801164604
10000.0,300.0,0.8,FULL_STACK,oracle,0,20,1469.9846648747102,0.036600727699419425,47070595.07117332,0.02569921342701862,3.8917472899742327,0.0,0.5254166666657877,0.011049047801164604
10000.0,300.0,0.8,HYBRID,oracle,0,20,1441.128653644398,0.021359612279960055,44632384.32479974,0.025515651985236133,3.8917472899742327,0.0,0.5254166666657877,0.011049047801164604
10000.0,300.0,0.8,TECS_MRAC,none,0,20,1446.983358077705,0.0,44993218.40707719,0.02550618022811756,3.8917472899742327,0.0,nan,0.20000000000002008
10000.0,300.0,1.0,BASELINE,none,0,20,1421.6029484383762,0.0,40871252.68185039,0.017724072587216252,1.3408289073373454,0.0,nan,nan
10000.0,300.0,1.0,CLASSICAL_KAPPA,oracle,0,20,1421.6029484383762,0.0,40871252.68185039,0.017724072587216252,1.3408289073373454,0.0,nan,nan
10000.0,300.0,1.0,FULL_STACK,oracle,0,20,1441.090834211558,0.0,44632691.691723265,0.018441147985265298,3.8917472899742327,0.0,nan,nan
10000.0,300.0,1.0,HYBRID,oracle,0,20,1441.090834211558,0.0,44632691.691723265,0.018441147985265298,3.8917472899742327,0.0,nan,nan
10000.0,300.0,1.0,TECS_MRAC,none,0,20,1441.090834211558,0.0,44632691.691723265,0.018441147985265298,3.8917472899742327,0.0,nan,nan
15000.0,400.0,0.5,BASELINE,none,0,20,580.7816473022103,0.0,7160094.981625383,0.009357160748664672,0.5626567344364675,0.0,nan,0.5
15000.0,400.0,0.5,CLASSICAL_KAPPA,oracle,0,20,571.0608726203442,0.017529790129464498,6894134.691949012,0.009411212581858945,0.5626567344364675,0.0,0.2237499999991382,0.016019453674067537
15000.0,400.0,0.5,FULL_STACK,oracle,0,20,612.0589578166604,0.014381672644554025,8588271.78470588,0.009811487973248167,0.8027822340817019,0.0,0.2237499999991382,0.016019453674067537
15000.0,400.0,0.5,HYBRID,oracle,0,20,564.983996664919,0.01346898076482925,6943240.791126294,0.009465629860261362,0.1590789560680174,0.0,0.2237499999991382,0.016019453674067537
15000.0,400.0,0.5,TECS_MRAC,none,0,20,574.3791460730135,0.0,7192452.59808019,0.009407466100326441,0.1590789560680174,0.0,nan,0.5
15000.0,400.0,0.6,BASELINE,none,0,20,577.5341107025743,0.0,7070589.256484488,0.006767540278271106,0.5626567344364675,0.0,nan,0.40000000000004016
15000.0,400.0,0.6,CLASSICAL_KAPPA,oracle,0,20,571.063936589472,0.014685691590097418,6894023.927950004,0.006796138481903443,0.5626567344364675,0.0,0.2616666666658027,0.014362367437732223
15000.0,400.0,0.6,FULL_STACK,oracle,0,20,610.2020061612129,0.014541643347627382,8518301.007076442,0.007078543301695066,0.880832328206281,0.0,0.2616666666658027,0.014362367437732223
15000.0,400.0,0.6,HYBRID,oracle,0,20,564.9890538047999,0.011531330976739793,6943091.853601402,0.006848519114731928,0.1590789560680174,0.0,0.2616666666658027,0.014362367437732223
15000.0,400.0,0.6,TECS_MRAC,none,0,20,571.244886405766,0.0,7108736.313695552,0.006817585978282223,0.1590789560680174,0.0,nan,0.40000000000004016
15000.0,400.0,0.8,BASELINE,none,0,20,573.4905584529042,0.0,6959614.161262509,0.004189145663186627,0.5626567344364675,0.0,nan,0.20000000000002008
15000.0,400.0,0.8,CLASSICAL_KAPPA,oracle,0,20,571.0687040120363,0.017177355303771128,6893779.406077942,0.004196903612325415,0.5626567344364675,0.0,0.5254166666657877,0.011049047801164604
15000.0,400.0,0.8,FULL_STACK,oracle,0,20,595.1453588068485,0.03163398567164516,7973455.526700938,0.00439205856290877,1.0062481671672416,0.0,0.5254166666657877,0.011049047801164604
15000.0,400.0,0.8,HYBRID,oracle,0,20,564.9904077764601,0.015454691999360535,6942875.979002769,0.0042471094639062205,0.1590789560680174,0.0,0.5254166666657877,0.011049047801164604
15000.0,400.0,0.8,TECS_MRAC,none,0,20,567.3119679056108,0.0,7004532.209770596,0.004238311684551587,0.1590789560680174,0.0,nan,0.20000000000002008
15000.0,400.0,1.0,BASELINE,none,0,20,571.060782648623,0.0,6893631.842530919,0.002993932487571348,0.5626567344364675,0.0,nan,nan
15000.0,400.0,1.0,CLASSICAL_KAPPA,oracle,0,20,571.060782648623,0.0,6893631.842530919,0.002993932487571348,0.5626567344364675,0.0,nan,nan
15000.0,400.0,1.0,FULL_STACK,oracle,0,20,565.0050869993865,0.0,6942993.694612594,0.0030433125064778595,0.1590789560680174,0.0,nan,nan
15000.0,400.0,1.0,HYBRID,oracle,0,20,565.0050869993865,0.0,6942993.694612594,0.0030433125064778595,0.1590789560680174,0.0,nan,nan
