alt_ft,vc_kts,gamma,noise,mode,baseline_mean,mode_mean,delta_mode_minus_baseline,ci95_lo,ci95_hi,improves
10000.0,300.0,0.5,0,CLASSICAL_KAPPA,1445.8870186805725,1421.6369373420252,-24.25008133854726,-24.26409776765849,-24.236378675522282,True
10000.0,300.0,0.5,0,FULL_STACK,1445.8870186805725,1445.8552299717442,-0.03178870882834417,-0.040569085325068956,-0.023063180390659008,True
10000.0,300.0,0.5,0,HYBRID,1445.8870186805725,1441.1692558832467,-4.717762797325804,-4.725721781416752,-4.708557939063667,True
10000.0,300.0,0.5,0,TECS_MRAC,1445.8870186805725,1464.5453892201183,18.658370539545786,18.658370539545786,18.658370539545786,False
10000.0,300.0,0.6,0,CLASSICAL_KAPPA,1437.8115580566227,1421.6245455957949,-16.187012460827873,-16.19901675970764,-16.175082320426633,True
10000.0,300.0,0.6,0,FULL_STACK,1437.8115580566227,1445.6543239204213,7.842765863798604,7.832953984723469,7.851858235932843,False
10000.0,300.0,0.6,0,HYBRID,1437.8115580566227,1441.1502387411892,3.338680684566498,3.328381864070008,3.3494987009325086,False
10000.0,300.0,0.6,0,TECS_MRAC,1437.8115580566227,1456.7625194229186,18.950961366295815,18.950961366295815,18.950961366295815,False
10000.0,300.0,0.8,0,CLASSICAL_KAPPA,1427.6840929873288,1421.5923153268172,-6.091777660511525,-6.0998605096760175,-6.08339872690849,True
10000.0,300.0,0.8,0,FULL_STACK,1427.6840929873288,1444.1283473799006,16.444254392571793,16.43651115860799,16.451861265320286,False
10000.0,300.0,0.8,0,HYBRID,1427.6840929873288,1441.128653644398,13.444560657069133,13.43575128572984,13.45402105312803,False
10000.0,300.0,0.8,0,TECS_MRAC,1427.6840929873288,1446.983358077705,19.29926509037614,19.29926509037614,19.29926509037614,False
10000.0,300.0,1.0,0,CLASSICAL_KAPPA,1421.6029484383762,1421.6029484383762,0.0,0.0,0.0,False
10000.0,300.0,1.0,0,FULL_STACK,1421.6029484383762,1441.090834211558,19.487885773181915,19.487885773181915,19.487885773181915,False
10000.0,300.0,1.0,0,HYBRID,1421.6029484383762,1441.090834211558,19.487885773181915,19.487885773181915,19.487885773181915,False
10000.0,300.0,1.0,0,TECS_MRAC,1421.6029484383762,1441.090834211558,19.487885773181915,19.487885773181915,19.487885773181915,False
15000.0,400.0,0.5,0,CLASSICAL_KAPPA,580.7816473022103,571.0608726203442,-9.720774681866146,-9.728073736717926,-9.713580095642204,True
15000.0,400.0,0.5,0,FULL_STACK,580.7816473022103,569.9091724762693,-10.872474825941026,-10.87986214786768,-10.865387657200918,True
15000.0,400.0,0.5,0,HYBRID,580.7816473022103,564.983996664919,-15.797650637291326,-15.803477900587001,-15.791950548365714,True
15000.0,400.0,0.5,0,TECS_MRAC,580.7816473022103,574.3791460730135,-6.402501229196787,-6.402501229196787,-6.402501229196787,True
15000.0,400.0,0.6,0,CLASSICAL_KAPPA,577.5341107025743,571.063936589472,-6.470174113102303,-6.477253205804198,-6.46395025229086,True
15000.0,400.0,0.6,0,FULL_STACK,577.5341107025743,569.7145094648004,-7.819601237773895,-7.826337214005159,-7.813017972628631,True
15000.0,400.0,0.6,0,HYBRID,577.5341107025743,564.9890538047999,-12.545056897774316,-12.550123633630573,-12.54023348757068,True
15000.0,400.0,0.6,0,TECS_MRAC,577.5341107025743,571.244886405766,-6.289224296808243,-6.289224296808243,-6.289224296808243,True
15000.0,400.0,0.8,0,CLASSICAL_KAPPA,573.4905584529042,571.0687040120363,-2.4218544408679463,-2.4296350968954643,-2.4147955065033897,True
15000.0,400.0,0.8,0,FULL_STACK,573.4905584529042,568.1506200354546,-5.339938417449616,-5.345884384908757,-5.333047006400347,True
15000.0,400.0,0.8,0,HYBRID,573.4905584529042,564.9904077764601,-8.50015067644415,-8.506631424734326,-8.493605022854172,True
15000.0,400.0,0.8,0,TECS_MRAC,573.4905584529042,567.3119679056108,-6.178590547293425,-6.178590547293425,-6.178590547293425,True
15000.0,400.0,1.0,0,CLASSICAL_KAPPA,571.060782648623,571.060782648623,0.0,0.0,0.0,False
15000.0,400.0,1.0,0,FULL_STACK,571.060782648623,565.0050869993865,-6.055695649236441,-6.055695649236441,-6.055695649236441,True
15000.0,400.0,1.0,0,HYBRID,571.060782648623,565.0050869993865,-6.055695649236441,-6.055695649236441,-6.055695649236441,True
15000.0,400.0,1.0,0,TECS_MRAC,571.060782648623,565.0050869993865,-6.055695649236441,-6.055695649236441,-6.055695649236441,True
20000.0,450.0,0.5,0,CLASSICAL_KAPPA,260.09937455132604,254.03668101336808,-6.062693537957955,-6.064749525268568,-6.060570036829455,True
20000.0,450.0,0.5,0,FULL_STACK,260.09937455132604,250.5103300932795,-9.589044458046544,-9.590987292425702,-9.587163968994282,True
20000.0,450.0,0.5,0,HYBRID,260.09937455132604,245.52924103941768,-14.570133511908352,-14.572428286480717,-14.567717450782668,True
20000.0,450.0,0.5,0,TECS_MRAC,260.09937455132604,251.3755410388112,-8.72383351251483,-8.72383351251483,-8.72383351251483,True
20000.0,450.0,0.6,0,CLASSICAL_KAPPA,258.0888120271265,254.04137427564712,-4.047437751479379,-4.049767958568358,-4.04502309761005,True
20000.0,450.0,0.6,0,FULL_STACK,258.0888120271265,250.31507640965282,-7.773735617473676,-7.775416631218909,-7.772047634106084,True
20000.0,450.0,0.6,0,HYBRID,258.0888120271265,245.53187343049794,-12.556938596628555,-12.558309738733737,-12.555520933619638,True
20000.0,450.0,0.6,0,TECS_MRAC,258.0888120271265,249.42961703240871,-8.65919499471778,-8.65919499471778,-8.65919499471778,True
20000.0,450.0,0.8,0,CLASSICAL_KAPPA,255.56021524220705,254.04321608338506,-1.5169991588219887,-1.5190779394470213,-1.5149578835768516,True
20000.0,450.0,0.8,0,FULL_STACK,255.56021524220705,248.72369374390692,-6.8365214983001295,-6.838175452617008,-6.834829929806298,True
20000.0,450.0,0.8,0,HYBRID,255.56021524220705,245.5355488270521,-10.02466641515494,-10.02630618974102,-10.023014844483695,True
20000.0,450.0,0.8,0,TECS_MRAC,255.56021524220705,246.99874652549624,-8.561468716710806,-8.561468716710806,-8.561468716710806,True
20000.0,450.0,1.0,0,CLASSICAL_KAPPA,254.04547956585884,254.04547956585884,0.0,0.0,0.0,False
20000.0,450.0,1.0,0,FULL_STACK,254.04547956585884,245.54288031160831,-8.502599254250526,-8.502599254250526,-8.502599254250526,True
20000.0,450.0,1.0,0,HYBRID,254.04547956585884,245.54288031160831,-8.502599254250526,-8.502599254250526,-8.502599254250526,True
20000.0,450.0,1.0,0,TECS_MRAC,254.04547956585884,245.54288031160831,-8.502599254250526,-8.502599254250526,-8.502599254250526,True
