step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,phi_twin_gamma_hat,phi_twin_conf,residual_enabled,rl_residual,interlock_tripped
22,0.175,BASELINE,15095.03275476396,488.78590879982096,0.3147099372901543,1.9348559671695182,9.782503111030676,-0.6698938093960071,-0.012014072672545745,-0.012014072672545745,-0.012014072672545745,0.15,0.04583333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
23,0.183333,BASELINE,15095.11458415538,488.8160020635142,0.3092872845576997,1.8743985011415691,9.767764773611823,-0.6689150603189669,-0.012025680909034834,-0.012025680909034834,-0.012025680909034834,0.15,0.04791666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
24,0.191667,BASELINE,15095.19570106268,488.8498969937113,0.3037723540882979,1.8534802818502008,9.720204687376897,-0.6660735805377207,-0.012902209757676914,-0.012902209757676914,-0.012902209757676914,0.15,0.049999999999999996,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
25,0.2,BASELINE,15095.276389956474,488.8875223604672,0.2981700531549673,1.8736095804658994,9.640181524536196,-0.6571713938113257,-0.013648787222743168,-0.013648787222743168,-0.013648787222743168,0.15,0.05208333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
26,0.208333,BASELINE,15095.35627797991,488.9174851100765,0.29255906083612565,1.935366370050588,9.621674763092287,-0.645273679730567,-0.014415131141008416,-0.014415131141008416,-0.014415131141008416,0.15,0.05416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
27,0.216667,BASELINE,15095.43659440428,488.9435403287015,0.2871504170618518,1.9545817565916164,9.634459792827322,-0.630361415469142,-0.014279514697668874,-0.014279514697668874,-0.014279514697668874,0.15,0.056249999999999994,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
28,0.225,BASELINE,15095.51704281196,488.9657635151758,0.2819833412258543,1.93327044394642,9.678453640508712,-0.6161238353113234,-0.014220066157049596,-0.014220066157049596,-0.014220066157049596,0.15,0.05833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
29,0.233333,BASELINE,15095.597987588495,488.9955461058221,0.2770114544470847,1.8705594995545847,9.659735701171464,-0.5992546914486442,-0.01409216172644611,-0.01409216172644611,-0.01409216172644611,0.15,0.06041666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
30,0.241667,BASELINE,15095.678188964725,489.0291418432589,0.27207273167962787,1.8506997876420992,9.608339365511608,-0.5815604242710144,-0.0148236069954938,-0.0148236069954938,-0.0148236069954938,0.15,0.06249999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
31,0.25,BASELINE,15095.757930159569,489.06648072747254,0.2671699684484148,1.8718659023606523,9.524752439724463,-0.5588432816818327,-0.015428828281563,-0.015428828281563,-0.015428828281563,0.15,0.06458333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
32,0.258333,BASELINE,15095.836842369288,489.0961774373526,0.2623745720385993,1.9347365764872737,9.50293165359026,-0.5341522960584115,-0.016047219080416463,-0.016047219080416463,-0.016047219080416463,0.15,0.06666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
33,0.266667,BASELINE,15095.91615633294,489.1219858475408,0.2578881488624434,1.955005732043699,9.512639231263142,-0.5075318425837139,-0.015761910222520183,-0.015761910222520183,-0.015761910222520183,0.15,0.06875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
34,0.275,BASELINE,15095.9955775626,489.14398174190706,0.25374152797839505,1.9347152535640812,9.553830088559145,-0.4826841314508177,-0.015553044096353216,-0.015553044096353216,-0.015553044096353216,0.15,0.07083333333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
35,0.283333,BASELINE,15096.07547308132,489.17354907048406,0.24987880623148737,1.872961929594799,9.532645668569128,-0.45631343957130543,-0.015275510795780338,-0.015275510795780338,-0.015275510795780338,0.15,0.07291666666666669,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
36,0.291667,BASELINE,15096.15460626036,489.2069442296436,0.24612853689464897,1.8540786373776288,9.479092771598815,-0.4302126306479975,-0.015858213182513604,-0.015858213182513604,-0.015858213182513604,0.15,0.07500000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
37,0.3,BASELINE,15096.233262497932,489.2440974001266,0.24248451258561252,1.8762571183074281,9.39367680179884,-0.4001802948855336,-0.01631691049568563,-0.01631691049568563,-0.01631691049568563,0.15,0.07708333333333336,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
38,0.308333,BASELINE,15096.311075918376,489.2736310429944,0.2390086982420287,1.9401577691906262,9.37027189011037,-0.3692467372571663,-0.01679097305551938,-0.01679097305551938,-0.01679097305551938,0.15,0.0791666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
39,0.316667,BASELINE,15096.389278631657,489.2992966009743,0.23589416617948827,1.961393746331889,9.37866765865514,-0.3374542658878256,-0.016365334018688175,-0.016365334018688175,-0.016365334018688175,0.15,0.08125000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
40,0.325,BASELINE,15096.467578917742,489.32116960583795,0.23316321776733454,1.9420209369615096,9.418829981036044,-0.30848057247181204,-0.0160192288007363,-0.0160192288007363,-0.0160192288007363,0.15,0.08333333333333338,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
41,0.333333,BASELINE,15096.546346135437,489.3506259907837,0.2307509743280839,1.8811231447025014,9.39690125051032,-0.2790122825210888,-0.015608212105971285,-0.015608212105971285,-0.015608212105971285,0.15,0.08541666666666672,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
42,0.341667,BASELINE,15096.624345995486,489.3839244736189,0.22848114561608057,1.8609750715640272,9.342995182746945,-0.25080273536956876,-0.01606212676540919,-0.01606212676540919,-0.01606212676540919,0.15,0.08750000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
