case,gamma_remaining,loss_percent,max_abs_dh,min_theta,max_theta,max_roll,interlock,crash,residual_steps
BASELINE,1.0,0.0,569.1371635571122,-0.0568784170623559,0.3845246721423063,3.3074405847917343,False,False,0
TECS_MRAC,1.0,0.0,563.0387950316072,-0.0728079748129234,0.3988456669151227,3.348102137250103,False,False,0
HYBRID,1.0,0.0,562.0840875841677,-0.0557983876065476,0.3845246721423063,3.3037584666147457,False,False,0
FULL_STACK,1.0,0.0,556.3148895762861,-0.0721579006968643,0.4878313717370989,3.34578002781824,False,False,0
