step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
11,0.083333,FULL_STACK,15094.13737590611,488.44370178201694,0.39226104295705627,1.8600555745246212,9.964564746244381,0.09637729983627187,-0.0010077080088126541,-0.014842127669082869,-0.014842127669082869,0.15,0.022916666666666665,1.0,1.0,1.0,-0.013834419660270214,0.0,0.0,1.0,1.0,0.0,False
12,0.091667,FULL_STACK,15094.220221530646,488.47801711425245,0.3931156610283589,1.8406476147691833,9.938245899635437,0.08861046488067816,-0.0014300454288364228,-0.015255848492646294,-0.015255848492646294,0.15,0.024999999999999998,1.0,1.0,1.0,-0.013825803063809872,0.0,0.0,1.0,1.0,0.0,False
13,0.1,FULL_STACK,15094.302818309516,488.5161178302449,0.3937948101263889,1.8621115866627194,9.880241389068907,0.08374015359699666,-0.001756907481975215,-0.015605527017540591,-0.015605527017540591,0.15,0.02708333333333333,1.0,1.0,1.0,-0.013848619535565376,0.0,0.0,1.0,1.0,0.0,False
14,0.108333,FULL_STACK,15094.384801276028,488.54659113237045,0.3943517886562368,1.9251140146362358,9.884674075580106,0.07904167473188403,-0.0021288146255148874,-0.016031230146957776,-0.016031230146957776,0.15,0.029166666666666664,1.0,1.0,1.0,-0.01390241552144289,0.0,0.0,1.0,1.0,0.0,False
15,0.116667,FULL_STACK,15094.467408139259,488.5731922274029,0.3949724837019961,1.9456531866737563,9.921157735244623,0.07484570257244111,-0.0016251902926095903,-0.01552039830864753,-0.01552039830864753,0.15,0.031249999999999997,1.0,1.0,1.0,-0.013895208016037941,0.0,0.0,1.0,1.0,0.0,False
16,0.125,FULL_STACK,15094.550347086042,488.5960001801132,0.3956758589194639,1.9257722629063307,9.989562992602691,0.06735245807291314,-0.0012278646304279188,-0.015084518685844503,-0.015084518685844503,0.15,0.03333333333333333,1.0,1.0,1.0,-0.013856654055416584,0.0,0.0,1.0,1.0,0.0,False
17,0.133333,FULL_STACK,15094.633988622576,488.62641912155306,0.39639366191420855,1.8645772159070344,9.995744834774897,0.059984747177744234,-0.0007900160777589867,-0.014576906621756274,-0.014576906621756274,0.15,0.035416666666666666,1.0,1.0,1.0,-0.013786890543997288,0.0,0.0,1.0,1.0,0.0,False
18,0.141667,FULL_STACK,15094.717095524073,488.66069720363663,0.3969435216158954,1.846048663906004,9.969738463278361,0.051015499328916525,-0.001243436918178251,-0.015021356031814268,-0.015021356031814268,0.15,0.0375,1.0,1.0,1.0,-0.013777919113636017,0.0,0.0,1.0,1.0,0.0,False
19,0.15,FULL_STACK,15094.799955882132,488.6987541565775,0.39730803777437546,1.8684150779900703,9.912009853817764,0.04517926112410338,-0.0016010101280552293,-0.015401439308319703,-0.015401439308319703,0.15,0.03958333333333333,1.0,1.0,1.0,-0.013800429180264473,0.0,0.0,1.0,1.0,0.0,False
20,0.158333,FULL_STACK,15094.882204599679,488.72918526532555,0.3975422033098562,1.9323252725287672,9.916592783459954,0.03974401795270677,-0.002002565579313477,-0.0158565178679411,-0.0158565178679411,0.15,0.041666666666666664,1.0,1.0,1.0,-0.013853952288627625,0.0,0.0,1.0,1.0,0.0,False
