step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
1,0.0,HYBRID,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,9.821049311799793,-0.0026533576361596626,-0.013178971090217385,-0.013178971090217385,-0.013178971090217385,0.15,0.0020833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
2,0.008333,HYBRID,15093.394504960626,488.18270418327506,0.38436161825509524,1.919778420088612,9.822166137868257,-0.017212999598424865,-0.010262304423550719,-0.010262304423550719,-0.010262304423550719,0.15,0.004166666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
3,0.016667,HYBRID,15093.476573172957,488.20979933400804,0.3841800158653907,1.9409925285491898,9.8543353170778,-0.04734385093327397,-0.007345637756884052,-0.007345637756884052,-0.007345637756884052,0.15,0.00625,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
4,0.025,HYBRID,15093.558933813125,488.23320209947065,0.3838651459043703,1.9218272521091333,9.91762256889951,-0.09207678727951886,-0.004428971090217386,-0.004428971090217386,-0.004428971090217386,0.15,0.008333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
5,0.033333,HYBRID,15093.641951736063,488.26436419363193,0.3832546664856595,1.8613805610115803,9.917393334659433,-0.14818102313069123,-0.0029029215219071236,-0.0029029215219071236,-0.0029029215219071236,0.15,0.010416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
6,0.041667,HYBRID,15093.724374502897,488.29939892708273,0.38207578148823157,1.8409678807397567,9.884295182419484,-0.21005739004734508,-0.0037558182231501955,-0.0037558182231501955,-0.0037558182231501955,0.15,0.012499999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
7,0.05,HYBRID,15093.806490920484,488.33814305649787,0.38027106720738196,1.8614565958667313,9.818932839898599,-0.265929660065164,-0.004599571170808158,-0.004599571170808158,-0.004599571170808158,0.15,0.014583333333333332,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
8,0.058333,HYBRID,15093.887930311263,488.3692094624896,0.3779186592095176,1.9234387339318721,9.81529648905627,-0.31819938131537634,-0.005535698867418129,-0.005535698867418129,-0.005535698867418129,0.15,0.016666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
9,0.066667,HYBRID,15093.969922944903,488.396354380668,0.3752336373528841,1.942999286490481,9.842965088323043,-0.36639294089145114,-0.005606061961629042,-0.005606061961629042,-0.005606061961629042,0.15,0.01875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
10,0.075,HYBRID,15094.052170962095,488.41964938605355,0.3722641629381662,1.9221573855800411,9.901770713004801,-0.41392719160687474,-0.005786781155871712,-0.005786781155871712,-0.005786781155871712,0.15,0.020833333333333332,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
