episode_id,ok,reason,gamma_remaining,loss_percent,seed,fault_onset_s,target_alt_ft,target_vc_kts,n_rows,crash
0,True,complete,1.0,0.0,1042,5.076003662341954,14988.592678546038,398.9776692707222,400,False
1,True,complete,1.0,0.0,2039,5.335913257315258,15009.441541859524,403.3094847988256,400,False
2,True,complete,1.0,0.0,3036,5.138605414055749,14997.478443269812,403.80588919388833,400,False
3,True,complete,1.0,0.0,4033,4.915757761241738,15009.710478766216,398.8817812155911,400,False
4,True,complete,1.0,0.0,5030,5.245196237135706,14982.964555950692,396.0528253777218,400,False
5,True,complete,1.0,0.0,6027,4.937801929259573,15017.914820192687,403.02606284103575,400,False
6,True,complete,1.0,0.0,7024,5.1926391088551185,15009.497988110246,397.26901849507686,400,False
7,True,complete,1.0,0.0,8021,4.562386663158392,14971.646806413895,396.6267282150801,400,False
8,True,complete,1.0,0.0,9018,5.075493350970755,15018.06492500491,396.1384875423538,400,False
9,True,complete,1.0,0.0,10015,4.717533141421848,14998.656773415758,398.4686111248157,400,False
10,True,complete,1.0,0.0,11012,4.692313647915717,15030.951383706146,398.2337500115739,400,False
11,True,complete,1.0,0.0,12009,4.596568431084274,15000.083410657162,399.50816676919175,400,False
12,True,complete,1.0,0.0,13006,5.499832331908913,14966.521641434016,400.05550654245945,400,False
13,True,complete,1.0,0.0,14003,4.589708245746128,14978.03362749182,403.71554176930664,400,False
14,True,complete,1.0,0.0,15000,5.147453574618435,14979.33647744377,399.46820419315094,400,False
15,True,complete,1.0,0.0,15997,5.176113673521941,14976.754279277555,397.2758567889507,400,False
16,True,complete,1.0,0.0,16994,5.436563950522179,15025.256029194787,400.9787092302645,400,False
17,True,complete,1.0,0.0,17991,5.337428519169966,15018.955477070638,399.86369319387353,400,False
18,True,complete,1.0,0.0,18988,5.382425733815683,15011.4899411941,397.22568395369586,400,False
19,True,complete,1.0,0.0,19985,5.172810550909267,14986.280028637717,403.7484639197367,400,False
20,True,complete,1.0,0.0,20982,4.891093907783576,15028.591390402695,397.1046902366154,400,False
21,True,complete,1.0,0.0,21979,4.648497800101757,15024.602478230956,401.32931913224087,400,False
22,True,complete,1.0,0.0,22976,5.411261537507469,14977.424903639328,397.1455318130332,400,False
23,True,complete,1.0,0.0,23973,5.417658561867043,14990.483215858307,396.49559992189336,400,False
24,True,complete,1.0,0.0,24970,5.062519139020817,14970.531284351757,402.5749057603045,400,False
25,True,complete,1.0,0.0,25967,4.871278543918173,15008.227119830532,400.2387988118847,400,False
26,True,complete,1.0,0.0,26964,4.530380573172237,15018.736152849158,403.8528904558635,400,False
27,True,complete,1.0,0.0,27961,4.642104868284415,14993.806865893093,398.36102748733214,400,False
28,True,complete,1.0,0.0,28958,4.688177851199887,15018.480446347654,401.1883865970548,400,False
29,True,complete,1.0,0.0,29955,4.602766662592745,15021.988593174263,401.0388177871551,400,False
30,True,complete,1.0,0.0,30952,5.339829587678834,14991.23809986504,401.4430959054667,400,False
31,True,complete,1.0,0.0,31949,5.40954047839932,14962.78317863575,399.6024894150903,400,False
32,True,complete,1.0,0.0,32946,5.1128846407611,14975.310842100307,399.6898497782098,400,False
33,True,complete,1.0,0.0,33943,5.289111025549444,14990.334084046362,402.9926657693853,400,False
34,True,complete,1.0,0.0,34940,5.0642555544103995,14963.864548946178,399.6369380203032,400,False
35,True,complete,1.0,0.0,35937,5.257142711672445,15004.709525241855,398.64408929988593,400,False
36,True,complete,1.0,0.0,36934,5.1461749552346845,15029.785469794562,396.48811599948476,400,False
37,True,complete,1.0,0.0,37931,4.832885984540655,15014.61588171767,397.7615725465359,400,False
38,True,complete,1.0,0.0,38928,5.332771381739799,15007.685353374589,399.0392087951183,400,False
39,True,complete,1.0,0.0,39925,4.506876910107662,14990.878176804537,396.2730999295907,400,False
40,True,complete,0.8,19.999999999999996,40722,5.354979876870227,14992.61155188005,398.59438250099123,400,False
41,True,complete,0.8,19.999999999999996,41719,4.536329962228269,15022.094321458888,396.4468880708335,400,False
42,True,complete,0.8,19.999999999999996,42716,4.970140140346979,15028.524480389875,397.17657823921365,400,False
43,True,complete,0.8,19.999999999999996,43713,5.494594593052378,15013.27791130951,400.8764547734889,400,False
44,True,complete,0.8,19.999999999999996,44710,5.309730963666063,15022.30165538414,403.89784687212216,400,False
45,True,complete,0.8,19.999999999999996,45707,5.453630784443361,14996.69510459258,397.30777029060647,400,False
46,True,complete,0.8,19.999999999999996,46704,5.281057632964437,15009.781983792354,398.2522433865604,400,False
47,True,complete,0.8,19.999999999999996,47701,4.763961304206083,15016.939005557051,403.44992279092406,400,False
48,True,complete,0.8,19.999999999999996,48698,4.639192724463936,14976.928329501621,399.48341252963183,400,False
